time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
210,0.2173176,0.32834293,0.49850863,0.03763187,0.20772133,0.42546584,0.27906977,0.14102564,0.34075439,0.37096814,0.37993916,0.37841478,0.4157106,0.39364792,0.34242088,0.30353252,0.35753448,0.45316197,0.2967334,0.19134945,0.45975626,0.19151711,0.31569659,0.19537525,0.26788915,0.66997804,0.37806093,0.36454383,-1,-1,-1,1,0.5413641683387835,"[0.20, 0.27)","[0.28, 0.33)","[0.40, 0.50)","[0.00, 0.05)","[0.15, 0.22)","[0.39, 0.45)","[0.20, 0.30)","[0.10, 0.20)","[0.42, 0.55)"
217,0.20614482,0.27916856,0.46943118,0.02550564,0.20947612,0.5310559,0.34883721,0.17948718,0.31434469,0.36442998,0.36625603,0.36341073,0.39404328,0.38603904,0.32019852,0.29409173,0.34768976,0.43582637,0.26071358,0.16283277,0.41420262,0.16270125,0.2700546,0.19251811,0.25345077,0.68640368,0.35773666,0.35154343,-1,-1,-1,1,0.5146808868398518,"[0.20, 0.27)","[0.24, 0.28)","[0.40, 0.50)","[0.00, 0.05)","[0.15, 0.22)","[0.51, 0.57)","[0.30, 0.40)","[0.10, 0.20)","[0.42, 0.55)"
224,0.12824293,0.19568693,0.29110773,0.00491731,0.20012021,0.62732919,0.31395349,0.29487179,0.29896422,0.38928378,0.38216172,0.38121036,0.38511242,0.40431161,0.32403271,0.30445279,0.34612541,0.43359423,0.2433596,0.14722944,0.39725166,0.14462943,0.24549963,0.19671938,0.25804297,0.69442597,0.35254025,0.36819899,-1,-1,-1,1,0.3532930636933495,"[0.07, 0.13)","[0.19, 0.24)","[0.20, 0.30)","[0.00, 0.05)","[0.15, 0.22)","[0.57, 0.63)","[0.30, 0.40)","[0.20, 0.30)","[0.30, 0.42)"
231,0.14330716,0.11144581,0.29194353,0.03655627,0.17787199,0.70496894,0.31395349,0.32051282,0.29276196,0.39526155,0.3962161,0.39559517,0.37843588,0.41273057,0.33639646,0.30701828,0.36099309,0.44584617,0.23067776,0.13667005,0.38104569,0.13704977,0.22784153,0.20432086,0.25501379,0.71464803,0.34884458,0.38494403,-1,-1,-1,1,0.3438107479584283,"[0.13, 0.20)","[0.09, 0.14)","[0.20, 0.30)","[0.00, 0.05)","[0.15, 0.22)","[0.69, 0.75)","[0.30, 0.40)","[0.30, 0.40)","[0.30, 0.42)"
238,0.06946682,0.03311631,0.12833683,0.0400896,0.12538092,0.77018634,0.30232558,0.34615385,0.28539485,0.39709905,0.40085406,0.39940983,0.37557669,0.4190957,0.33367003,0.30755781,0.37642045,0.46084612,0.22139711,0.12703878,0.37376885,0.12432575,0.21249373,0.21188584,0.25536035,0.72791005,0.34129915,0.39756232,-1,-1,-1,1,0.1838420329050332,"[0.07, 0.13)","[0.00, 0.05)","[0.10, 0.20)","[0.00, 0.05)","[0.07, 0.15)","[0.75, 0.82)","[0.30, 0.40)","[0.30, 0.40)","[0.18, 0.30)"
245,0.05818508,0.03795193,0.10100802,0.04012211,0.12504574,0.81677019,0.3255814,0.25641026,0.30268882,0.39304232,0.42143181,0.41752339,0.40466054,0.42942236,0.33748096,0.32323586,0.38153432,0.4594378,0.23098171,0.12609201,0.39165833,0.12093466,0.21647989,0.22270394,0.25651317,0.74749066,0.36190366,0.42065796,-1,-1,-1,1,0.16567691724353184,"[0.00, 0.07)","[0.00, 0.05)","[0.10, 0.20)","[0.00, 0.05)","[0.07, 0.15)","[0.82, 0.88)","[0.30, 0.40)","[0.20, 0.30)","[0.05, 0.18)"
252,0.07479254,0.04542463,0.09483465,0.04442111,0.1591005,0.85093168,0.20930233,0.24358974,0.33168273,0.38763565,0.46136924,0.46025544,0.43503249,0.41869403,0.37234432,0.34947737,0.40897471,0.47177557,0.2462075,0.1266509,0.4068579,0.11891098,0.22179893,0.24132563,0.26786266,0.74721131,0.36914924,0.41198534,-1,-1,-1,1,0.19047260946000766,"[0.07, 0.13)","[0.00, 0.05)","[0.00, 0.10)","[0.00, 0.05)","[0.15, 0.22)","[0.82, 0.88)","[0.20, 0.30)","[0.20, 0.30)","[0.18, 0.30)"
259,0.07130868,0.0425009,0.07093027,0.04938455,0.16096408,0.83850932,0.13953488,0.14102564,0.38483551,0.39187111,0.51243472,0.51455474,0.48356337,0.41902765,0.42536633,0.39237264,0.44174566,0.48600138,0.29450542,0.14685885,0.46424737,0.14786136,0.27186306,0.24400018,0.27357531,0.75060586,0.38287484,0.41760202,-1,-1,-1,1,0.18270022449691134,"[0.07, 0.13)","[0.00, 0.05)","[0.00, 0.10)","[0.00, 0.05)","[0.15, 0.22)","[0.82, 0.88)","[0.10, 0.20)","[0.10, 0.20)","[0.18, 0.30)"
266,0.08569081,0.04208978,0.0781081,0.06500139,0.17732202,0.79813665,0.13953488,0.14102564,0.44634605,0.41389458,0.56755159,0.5702862,0.53871129,0.4436039,0.4797292,0.4321158,0.47546814,0.50802387,0.33790074,0.17349444,0.51664433,0.1771353,0.32229916,0.24304936,0.27783796,0.73889848,0.4077231,0.43547352,-1,-1,-1,1,0.2043750345918564,"[0.07, 0.13)","[0.00, 0.05)","[0.00, 0.10)","[0.05, 0.11)","[0.15, 0.22)","[0.75, 0.82)","[0.10, 0.20)","[0.10, 0.20)","[0.18, 0.30)"
273,0.16260793,0.11688807,0.16371824,0.13289691,0.25973977,0.77018634,0.15116279,0.16666667,0.48964411,0.41905501,0.59747782,0.58969185,0.57625255,0.44029292,0.50269721,0.45344377,0.51474601,0.53781447,0.37282249,0.19690155,0.56060169,0.20635097,0.36544589,0.24478178,0.27612501,0.73076499,0.44208477,0.45612949,-1,-1,-1,1,0.3345594101439961,"[0.13, 0.20)","[0.09, 0.14)","[0.10, 0.20)","[0.11, 0.16)","[0.22, 0.30)","[0.75, 0.82)","[0.10, 0.20)","[0.10, 0.20)","[0.30, 0.42)"
280,0.15258869,0.2055562,0.14025526,0.13076211,0.24954289,0.75465839,0.15116279,0.16666667,0.5136824,0.41795274,0.60853347,0.59985999,0.59121597,0.43547938,0.51935572,0.45993007,0.50673923,0.52380529,0.38011806,0.20139527,0.57037928,0.20987943,0.37554776,0.23769096,0.2562522,0.70732735,0.44385485,0.4171682,-1,-1,-1,1,0.31470926474902483,"[0.13, 0.20)","[0.19, 0.24)","[0.10, 0.20)","[0.11, 0.16)","[0.22, 0.30)","[0.75, 0.82)","[0.10, 0.20)","[0.10, 0.20)","[0.30, 0.42)"
287,0.18963336,0.22214024,0.19005538,0.1564464,0.29085788,0.72981366,0.15116279,0.17948718,0.53518737,0.41400466,0.60752601,0.59717666,0.59933772,0.42253327,0.52711883,0.46563867,0.50730009,0.5219741,0.38357575,0.20677078,0.57289798,0.22128914,0.38526487,0.22961807,0.22275393,0.68583479,0.46558751,0.41033585,-1,-1,-1,1,0.38104439360525805,"[0.13, 0.20)","[0.19, 0.24)","[0.10, 0.20)","[0.11, 0.16)","[0.22, 0.30)","[0.69, 0.75)","[0.10, 0.20)","[0.10, 0.20)","[0.30, 0.42)"
294,0.18052028,0.2437858,0.23942303,0.14333853,0.2364288,0.72049689,0.13953488,0.20512821,0.54967787,0.4173094,0.60177538,0.59005566,0.60138332,0.41773641,0.53047701,0.46547242,0.50335106,0.51568883,0.37791558,0.20917465,0.56349325,0.22670111,0.38563584,0.22038822,0.19187115,0.67172743,0.48136526,0.40323945,-1,-1,-1,1,0.36574294107526095,"[0.13, 0.20)","[0.24, 0.28)","[0.20, 0.30)","[0.11, 0.16)","[0.22, 0.30)","[0.69, 0.75)","[0.10, 0.20)","[0.20, 0.30)","[0.30, 0.42)"
301,0.18117314,0.23766113,0.27920357,0.14297721,0.19487721,0.72049689,0.11627907,0.16666667,0.5449981,0.41870553,0.57404041,0.55969566,0.59403928,0.41157688,0.50274973,0.45430289,0.48192084,0.5070266,0.37498901,0.20781532,0.56944876,0.22351259,0.38699972,0.20878288,0.15720691,0.69680592,0.49094106,0.41246423,-1,-1,-1,1,0.3692888341901405,"[0.13, 0.20)","[0.24, 0.28)","[0.20, 0.30)","[0.11, 0.16)","[0.15, 0.22)","[0.69, 0.75)","[0.10, 0.20)","[0.10, 0.20)","[0.30, 0.42)"
