time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
210,0.02790832,0.03801713,0.03435029,0.03681764,0.04321694,0.49319728,0.0952381,0.04651163,0.30846976,0.45672978,0.31780278,0.41104114,0.40656607,0.60088893,0.31881303,0.44474138,0.51799647,0.54850787,0.53603515,0.55575371,0.54456535,0.60336259,0.69601408,0.193553,0.51452336,0.55591865,0.45779533,0.69567282,-1,-1,-1,-1,0.06635649886196,"[0.00, 0.03)","[0.04, 0.07)","[0.03, 0.05)","[0.00, 0.05)","[0.03, 0.07)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
217,0.03521579,0.03445683,0.04079901,0.03538022,0.07271977,0.49319728,0.0952381,0.02325581,0.29921368,0.44722267,0.31285498,0.40984356,0.39300221,0.58684742,0.31853158,0.41529965,0.491205,0.53036548,0.55474675,0.54596574,0.56362823,0.58585503,0.71139105,0.1590978,0.53521066,0.56598712,0.43569074,0.69818279,-1,-1,-1,-1,0.09057860748036149,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
224,0.03235923,0.02708722,0.0371302,0.03526304,0.06956318,0.48979592,0.0952381,0.04651163,0.27780353,0.4523711,0.29974984,0.40446895,0.37801377,0.5920063,0.30872861,0.40177671,0.45462232,0.49579258,0.55494189,0.53105167,0.56117409,0.56696946,0.70052177,0.14870436,0.53007711,0.56585855,0.44621829,0.71215226,-1,-1,-1,-1,0.08637806291989883,"[0.00, 0.03)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.03, 0.09)"
231,0.0360052,0.01929702,0.04107707,0.03755704,0.09602677,0.49319728,0.0952381,0.04651163,0.27823777,0.44685562,0.29017864,0.3986533,0.38248878,0.58638047,0.30508093,0.39103162,0.42264533,0.4649255,0.54692704,0.52192685,0.55146218,0.55870311,0.6865552,0.146908,0.54058699,0.56982744,0.434014,0.70054259,-1,-1,-1,-1,0.11099097931804817,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.00, 0.05)","[0.07, 0.10)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
238,0.04102099,0.01623624,0.03407351,0.05242477,0.11770029,0.49319728,0.07142857,0.06976744,0.26904713,0.45142039,0.28072884,0.39408891,0.37211191,0.58973548,0.31093383,0.38523088,0.39322094,0.42124726,0.54219154,0.52618044,0.54752973,0.56026091,0.68563781,0.14498667,0.54782245,0.57277545,0.41928444,0.70152808,-1,-1,-1,-1,0.13327685042556003,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.05, 0.09)","[0.10, 0.13)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.09, 0.14)"
245,0.06317812,0.02499538,0.0404883,0.09364902,0.11265119,0.49319728,0.07142857,0.06976744,0.27725299,0.46248214,0.27846632,0.39285881,0.3763481,0.59804001,0.32428271,0.3787892,0.39230061,0.41648163,0.52431924,0.52416573,0.53100766,0.55391827,0.6702923,0.1390235,0.56453503,0.54618899,0.41563863,0.707463,-1,-1,-1,-1,0.1519859598524367,"[0.03, 0.06)","[0.00, 0.04)","[0.03, 0.05)","[0.09, 0.14)","[0.10, 0.13)","[0.48, 0.57)","[0.00, 0.10)","[0.00, 0.10)","[0.14, 0.20)"
252,0.10524858,0.04147185,0.04758633,0.16736352,0.11506116,0.49659864,0.11904762,0.09302326,0.28298979,0.45114188,0.29364996,0.40686197,0.38988918,0.59226464,0.34163037,0.38578033,0.40673657,0.42905399,0.50082033,0.50400609,0.51101442,0.52469798,0.63737091,0.12902336,0.59126643,0.52834398,0.42557603,0.72469825,-1,-1,-1,-1,0.20860028084881596,"[0.09, 0.13)","[0.04, 0.07)","[0.03, 0.05)","[0.14, 0.19)","[0.10, 0.13)","[0.48, 0.57)","[0.10, 0.20)","[0.00, 0.10)","[0.20, 0.26)"
259,0.20303154,0.12977586,0.0781135,0.33496128,0.17006312,0.49659864,0.14285714,0.09302326,0.28476541,0.44489356,0.2886168,0.40048949,0.39249073,0.59029659,0.33946979,0.38233629,0.40531434,0.42428091,0.47454424,0.50970159,0.49254313,0.5133681,0.61977639,0.12821612,0.58900389,0.50235061,0.41002503,0.66419278,-1,-1,-1,-1,0.38369550787782597,"[0.19, 0.22)","[0.11, 0.15)","[0.07, 0.08)","[0.33, 0.37)","[0.17, 0.20)","[0.48, 0.57)","[0.10, 0.20)","[0.00, 0.10)","[0.37, 0.42)"
266,0.2336592,0.223262,0.10227157,0.37434866,0.21911216,0.49659864,0.11904762,0.11627907,0.27420083,0.43632086,0.27810318,0.38621133,0.38322147,0.58667077,0.33619431,0.38422522,0.4049338,0.41583902,0.45165419,0.51012029,0.4676653,0.49375371,0.59420495,0.14122925,0.56455408,0.48429627,0.41378298,0.61102759,-1,-1,-1,-1,0.4456529276622404,"[0.22, 0.25)","[0.22, 0.25)","[0.10, 0.11)","[0.37, 0.42)","[0.20, 0.23)","[0.48, 0.57)","[0.10, 0.20)","[0.10, 0.20)","[0.42, 0.48)"
273,0.26159566,0.21457637,0.11430921,0.41637873,0.25401256,0.50340136,0.11904762,0.11627907,0.27765738,0.40567603,0.27346259,0.37591484,0.3785352,0.56655251,0.3412453,0.37651098,0.41981256,0.42586191,0.42284932,0.51518561,0.43832907,0.47715342,0.56601357,0.15816167,0.53896556,0.48141843,0.411644,0.55918889,-1,-1,-1,-1,0.5009593026633906,"[0.25, 0.28)","[0.18, 0.22)","[0.11, 0.13)","[0.37, 0.42)","[0.23, 0.27)","[0.48, 0.57)","[0.10, 0.20)","[0.10, 0.20)","[0.48, 0.53)"
