time,Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M,Distancia,Intervalo_Veloc,Intervalo_Acele,Intervalo_Des_x,Intervalo_Des_y,Intervalo_Des_z,Intervalo_Presn,Intervalo_VelPr,Intervalo_AcePr,Intervalo_Distancia
210,0.21751074,0.1038422,0.16073691,0.14961423,0.26196316,0.35164835,0.08,0.07843137,0.46755261,0.48143151,0.46369006,0.48976545,0.45631269,0.48030524,0.38610072,0.51948829,0.61382151,0.60588737,0.47723314,0.43622343,0.60663923,0.62881903,0.52783337,0.47413144,0.63093173,0.33934391,0.65900287,0.4375715,-1,1,-1,-1,0.34182666550757357,"[0.18, 0.27)","[0.10, 0.20)","[0.10, 0.20)","[0.10, 0.20)","[0.24, 0.33)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.31, 0.43)"
217,0.1706744,0.07897205,0.03387573,0.14505401,0.26343157,0.35164835,0.06,0.09803922,0.45970951,0.45965707,0.45044054,0.47937464,0.44097322,0.45938067,0.3925477,0.52110743,0.61225122,0.60209033,0.47227686,0.4474632,0.60566227,0.63168001,0.53283513,0.45981492,0.62319099,0.28242018,0.63732269,0.38423137,-1,1,-1,-1,0.3026291839409707,"[0.09, 0.18)","[0.00, 0.10)","[0.00, 0.10)","[0.10, 0.20)","[0.24, 0.33)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.31)"
224,0.16613459,0.04700229,0.02337578,0.12245578,0.2766934,0.35714286,0.04,0.07843137,0.48774864,0.4962162,0.47951524,0.51926774,0.49254093,0.49340118,0.45338268,0.57353372,0.62412201,0.61862953,0.47446571,0.44805525,0.60696086,0.62723766,0.53330932,0.46210648,0.60561488,0.26845938,0.69025488,0.40047304,-1,1,-1,-1,0.30348160199520624,"[0.09, 0.18)","[0.00, 0.10)","[0.00, 0.10)","[0.10, 0.20)","[0.24, 0.33)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.31)"
231,0.13833503,0.02574937,0.0323956,0.07066049,0.27126753,0.35714286,0.04,0.05882353,0.51964492,0.51621395,0.50591754,0.5366612,0.51595113,0.51524514,0.48855689,0.60858232,0.645737,0.64211983,0.48575493,0.46911976,0.62325225,0.644653,0.55345687,0.47392791,0.59713292,0.25996633,0.70805992,0.41629818,-1,1,-1,-1,0.28218513883388857,"[0.09, 0.18)","[0.00, 0.10)","[0.00, 0.10)","[0.00, 0.10)","[0.24, 0.33)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.18, 0.31)"
238,0.18229214,0.05955692,0.04122064,0.09761933,0.34554274,0.35714286,0.02,0.03921569,0.4388846,0.50423167,0.42488667,0.45897409,0.4292223,0.4961226,0.41330188,0.54368546,0.585891,0.57780064,0.47005023,0.47185945,0.59404605,0.6375918,0.53923305,0.46722466,0.56862999,0.23745259,0.64594919,0.30888316,-1,1,-1,-1,0.36142559388948386,"[0.18, 0.27)","[0.00, 0.10)","[0.00, 0.10)","[0.00, 0.10)","[0.33, 0.41)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.31, 0.43)"
245,0.31283159,0.15755963,0.03989312,0.27790689,0.37141338,0.35164835,0.02,0.01960784,0.44320741,0.49060075,0.42169217,0.44133767,0.43418056,0.4718555,0.41722723,0.54090096,0.58329325,0.58255149,0.48013096,0.51992108,0.60688933,0.67188909,0.57585971,0.46909871,0.59621143,0.22461408,0.63914531,0.28721378,-1,1,-1,-1,0.4655873702924414,"[0.27, 0.36)","[0.10, 0.20)","[0.00, 0.10)","[0.20, 0.30)","[0.33, 0.41)","[0.34, 0.40)","[0.00, 0.10)","[0.00, 0.10)","[0.43, 0.55)"
252,0.59537815,0.29587821,0.15411469,0.61629145,0.44071873,0.33516484,0.04,0.03921569,0.45283718,0.49012119,0.44000575,0.44397351,0.45362586,0.48675967,0.44677126,0.56304532,0.59433002,0.59269678,0.46963941,0.52478595,0.60009625,0.68385137,0.5728248,0.47373319,0.60459008,0.25668554,0.64243735,0.31047096,-1,1,-1,-1,0.7731749400942269,"[0.54, 0.63)","[0.20, 0.30)","[0.10, 0.20)","[0.60, 0.70)","[0.41, 0.49)","[0.27, 0.34)","[0.00, 0.10)","[0.00, 0.10)","[0.67, 0.80)"
259,0.80587113,0.3862826,0.18085795,0.73079476,0.73830619,0.31868132,0.06,0.05882353,0.46006935,0.48194153,0.42838207,0.4112419,0.44458065,0.47309098,0.4561555,0.55462177,0.61147286,0.60365056,0.4476528,0.5171145,0.58749431,0.67223815,0.55518509,0.46719055,0.58533056,0.26377381,0.63789756,0.30330142,-1,1,-1,-1,1.0544508568510798,"[0.72, 0.81)","[0.30, 0.40)","[0.10, 0.20)","[0.70, 0.80)","[0.73, 0.82)","[0.27, 0.34)","[0.00, 0.10)","[0.00, 0.10)","[1.04, 1.16)"
266,0.82031825,0.5775785,0.18786567,0.77170238,0.70757869,0.2967033,0.08,0.05882353,0.4533782,0.47193345,0.42791523,0.39809824,0.44028355,0.46890534,0.4567202,0.52447129,0.6204,0.61121644,0.44691079,0.48869352,0.57203487,0.65283261,0.53567639,0.47207427,0.57034558,0.31992209,0.62690583,0.31428477,-1,1,-1,-1,1.0637131548515932,"[0.81, 0.90)","[0.50, 0.60)","[0.10, 0.20)","[0.70, 0.80)","[0.65, 0.73)","[0.27, 0.34)","[0.00, 0.10)","[0.00, 0.10)","[1.04, 1.16)"
273,0.87381203,0.58363279,0.23452878,0.86238432,0.65416303,0.27472527,0.08,0.07843137,0.3836888,0.44136461,0.37984343,0.34417128,0.36182756,0.43383405,0.3982246,0.47809993,0.58314816,0.58938315,0.43960231,0.47673742,0.56682796,0.63263983,0.5234644,0.46870589,0.55213352,0.35424917,0.5726366,0.29328337,-1,1,-1,-1,1.10753768958394,"[0.81, 0.90)","[0.50, 0.60)","[0.20, 0.30)","[0.80, 0.90)","[0.65, 0.73)","[0.27, 0.34)","[0.00, 0.10)","[0.00, 0.10)","[1.04, 1.16)"
